Year,Film,Nominee,Source,Category,Won,Concordance
2023,May December,Alex Mechanik,,Original Screenplay,FALSE,Screenplay (Original)
2023,Past Lives,Celine Song,,Original Screenplay,FALSE,Screenplay (Original)
2023,Bella!,Jeff L. Lieberman,,Documentary Screenplay,FALSE,
2023,It Ain't Over,Sean Mullin,,Documentary Screenplay,FALSE,
2023,The Pigeon Tunnel,Errol Morris,,Documentary Screenplay,TRUE,
2023,Stamped from the Beginning,David Teague,the book by Ibram X. Kendi,Documentary Screenplay,FALSE,
2022,Black Panther: Wakanda Forever,Ryan Coogler,the Marvel Comics,Adapted Screenplay,FALSE,Screenplay (Adapted)
2022,Black Panther: Wakanda Forever,Joe Robert Cole,the Marvel Comics,Adapted Screenplay,FALSE,Screenplay (Adapted)
2022,Glass Onion: A 'Knives Out' Mystery,Rian Johnson,the character Benoît Blanc created by Rian Johnson,Adapted Screenplay,FALSE,Screenplay (Adapted)
2022,She Said,Rebecca Lenkiewicz,the book of the same title by Jodi Kantor and Megan Twohey,Adapted Screenplay,FALSE,Screenplay (Adapted)
2022,Top Gun: Maverick,Ehren Kruger,"characters created by Jim Cash and Jack Epps, Jr.",Adapted Screenplay,FALSE,Screenplay (Adapted)
2022,Top Gun: Maverick,Eric Warren Singer,"characters created by Jim Cash and Jack Epps, Jr.",Adapted Screenplay,FALSE,Screenplay (Adapted)
2022,Top Gun: Maverick,Christopher McQuarrie,"characters created by Jim Cash and Jack Epps, Jr.",Adapted Screenplay,FALSE,Screenplay (Adapted)
2022,Top Gun: Maverick,Peter Craig,"characters created by Jim Cash and Jack Epps, Jr.",Adapted Screenplay,FALSE,Screenplay (Adapted)
2022,Top Gun: Maverick,Justin Marks,"characters created by Jim Cash and Jack Epps, Jr.",Adapted Screenplay,FALSE,Screenplay (Original)
2022,Women Talking,Sarah Polley,the book of the same title by Miriam Toews,Adapted Screenplay,TRUE,Screenplay (Original)
2022,Everything Everywhere All at Once,Daniel Kwan,,Original Screenplay,TRUE,Screenplay (Original)
2022,Everything Everywhere All at Once,Daniel Scheinert,,Original Screenplay,TRUE,Screenplay (Original)
2022,The Fabelmans,Steven Spielberg,,Original Screenplay,FALSE,Screenplay (Original)
2022,The Fabelmans,Tony Kushner,,Original Screenplay,FALSE,Screenplay (Original)
2022,The Menu,Seth Reiss,,Original Screenplay,FALSE,Screenplay (Original)
2022,The Menu,Will Tracy,,Original Screenplay,FALSE,Screenplay (Original)
2022,Nope,Jordan Peele,,Original Screenplay,FALSE,Screenplay (Original)
2022,Tár,Todd Field,,Original Screenplay,FALSE,Screenplay (Original)
2022,2nd Chance,Ramin Bahrani,,Documentary Screenplay,FALSE,
2022,Downfall: The Case against Boeing,Mark Bailey,,Documentary Screenplay,FALSE,
2022,Downfall: The Case against Boeing,Keven McAlester,,Documentary Screenplay,FALSE,
2022,Last Flight Home,Ondi Timoner,,Documentary Screenplay,FALSE,
