Year,Category,Concordance,Film,Film_Original,Country,Nominee,Won,Role,Adapted from,Character
2013,Best Film Not in the English Language,Foreign Film,Wadjda,وجدة,Saudi Arabia,Roman Paul,FALSE,Producer,,
2013,Best Animated Film,Animated Feature-Length Film,Frozen,,United States,Chris Buck,TRUE,Director,,
2013,Best Animated Film,Animated Feature-Length Film,Frozen,,United States,Jennifer Lee,TRUE,Director,,
2013,Best Animated Film,Animated Feature-Length Film,Frozen,,United States,Peter Del Vecho,TRUE,Producer,,
2013,Best Animated Film,Animated Feature-Length Film,Despicable Me 2,,United States,Pierre Coffin,FALSE,Director,,
2013,Best Animated Film,Animated Feature-Length Film,Despicable Me 2,,United States,Chris Renaud,FALSE,Director,,
2013,Best Animated Film,Animated Feature-Length Film,Despicable Me 2,,United States,Janet Healy,FALSE,Producer,,
2013,Best Animated Film,Animated Feature-Length Film,Despicable Me 2,,United States,Chris Meledandri,FALSE,Producer,,
2013,Best Animated Film,Animated Feature-Length Film,Monsters University,,United States,Dan Scanlon,FALSE,Director,,
2013,Best Animated Film,Animated Feature-Length Film,Monsters University,,United States,Kori Rae,FALSE,Producer,,
