Year,Category,Nominee,Film,Concordance,Won
2007,First-Time Feature Film,,,Directing,FALSE
2007,First-Time Feature Film,,,Directing,FALSE
2007,Feature Film,Ethan,No Country for Old Men,Directing,TRUE
2007,Feature Film,Joel Coen,No Country for Old Men,Directing,TRUE
2007,Feature Film,Paul Thomas Anderson,There Will Be Blood,Directing,FALSE
2007,Feature Film,Tony Gilroy,Michael Clayton,Directing,FALSE
2007,Feature Film,Sean Penn,Into the Wild,Directing,FALSE
2007,Feature Film,Julian Schnabel,The Diving Bell and the Butterfly (Le scaphandre et le papillon),Directing,FALSE
2007,Documentaries,Asger Leth,Ghosts of Cité Soleil,Directing,TRUE
2007,Documentaries,Ken Burns,The War,Directing,FALSE
2007,Documentaries,Lynn Novick,The War,Directing,FALSE
2007,Documentaries,Alex Gibney,Taxi to the Dark Side,Directing,FALSE
2007,Documentaries,Richard E. Robbins,Operation Homecoming: Writing the Wartime Experience,Directing,FALSE
2007,Documentaries,Barbet Schroeder,Terror's Advocate,Directing,FALSE
2006,First-Time Feature Film,,,Directing,TRUE
2006,First-Time Feature Film,,,Directing,FALSE
2006,First-Time Feature Film,,,Directing,FALSE
2006,First-Time Feature Film,,,Directing,FALSE
2006,First-Time Feature Film,,,Directing,FALSE
2006,Feature Film,Martin Scorsese,The Departed,Directing,TRUE
2006,Feature Film,Bill Condon,Dreamgirls,Directing,FALSE
2006,Feature Film,Jonathan Dayton,Little Miss Sunshine,Directing,FALSE
2006,Feature Film,Valerie Faris,Little Miss Sunshine,Directing,FALSE
2006,Feature Film,Stephen Frears,The Queen,Directing,FALSE
2006,Feature Film,Alejandro González Iñárritu,Babel,Directing,FALSE
2006,Documentaries,Arūnas Matelis,Before Flying Back to Earth,Directing,TRUE
2006,Documentaries,Amy J. Berg,Deliver Us from Evil,Directing,FALSE
2006,Documentaries,Michael Glawogger,Workingman's Death,Directing,FALSE
2006,Documentaries,James Longley,Iraq in Fragments,Directing,FALSE
2006,Documentaries,Jean-Henri Meunier,"Ici Najac, A Vous La Terre",Directing,FALSE
2005,First-Time Feature Film,,,Directing,TRUE
2005,First-Time Feature Film,,,Directing,FALSE
2005,First-Time Feature Film,,,Directing,FALSE
2005,First-Time Feature Film,,,Directing,FALSE
2005,First-Time Feature Film,,,Directing,FALSE
2005,Feature Film,Ang Lee,Brokeback Mountain,Directing,TRUE
2005,Feature Film,George Clooney,"Good Night, and Good Luck.",Directing,FALSE
2005,Feature Film,Paul Haggis,Crash,Directing,FALSE
2005,Feature Film,Bennett Miller,Capote,Directing,FALSE
2005,Feature Film,Steven Spielberg,Munich,Directing,FALSE
2005,Documentaries,Werner Herzog,Grizzly Man,Directing,TRUE
2005,Documentaries,Kief Davidson,The Devil's Miner,Directing,FALSE
2005,Documentaries,Richard Ladkani,The Devil's Miner,Directing,FALSE
2005,Documentaries,Sean McAllister,The Liberace of Baghdad,Directing,FALSE
2005,Documentaries,Rupert Murray,Unknown White Male,Directing,FALSE
2005,Documentaries,Brent Renaud,Off to War: Welcome to Baghdad,Directing,FALSE
2005,Documentaries,Craig Renaud,Off to War: Welcome to Baghdad,Directing,FALSE
